"Easting","Northing","Longitude","Latitude","Elevation"
494632.4,6403494.7,116.942857142857,-32.5058163265306,352.725555419922
494632.3,6403607.8,116.942857142857,-32.5047959183673,350.98583984375
494632.3,6403720.9,116.942857142857,-32.5037755102041,347.630401611328
494632.2,6403834,116.942857142857,-32.5027551020408,341.537475585938
494632.2,6403947.2,116.942857142857,-32.5017346938776,340.178466796875
494632.1,6404060.3,116.942857142857,-32.5007142857143,346.763702392578
494632,6404173.4,116.942857142857,-32.499693877551,346.620330810547
494632,6404286.5,116.942857142857,-32.4986734693878,350.746002197266
494631.9,6404399.6,116.942857142857,-32.4976530612245,358.000122070312
494631.8,6404512.7,116.942857142857,-32.4966326530612,363.345550537109
494631.8,6404625.8,116.942857142857,-32.495612244898,370.551544189453
494631.7,6404738.9,116.942857142857,-32.4945918367347,379.021820068359
494631.7,6404852.1,116.942857142857,-32.4935714285714,384.514068603516
494631.6,6404965.2,116.942857142857,-32.4925510204082,389.403991699219
494631.5,6405078.3,116.942857142857,-32.4915306122449,390.675415039062
494631.5,6405191.4,116.942857142857,-32.4905102040816,390.859954833984
494631.4,6405304.5,116.942857142857,-32.4894897959184,389.922119140625
494631.4,6405417.6,116.942857142857,-32.4884693877551,385.807373046875
494631.3,6405530.7,116.942857142857,-32.4874489795918,381.349151611328
494631.2,6405643.9,116.942857142857,-32.4864285714286,377.081207275391
494631.2,6405757,116.942857142857,-32.4854081632653,371.473327636719
494631.1,6405870.1,116.942857142857,-32.484387755102,366.776214599609
494631.1,6405983.2,116.942857142857,-32.4833673469388,364.885620117188
494631,6406096.3,116.942857142857,-32.4823469387755,364.226104736328
494630.9,6406209.4,116.942857142857,-32.4813265306123,364.416137695312
494630.9,6406322.5,116.942857142857,-32.480306122449,367.678894042969
494630.8,6406435.6,116.942857142857,-32.4792857142857,371.974304199219
494630.8,6406548.8,116.942857142857,-32.4782653061225,377.808380126953
494630.7,6406661.9,116.942857142857,-32.4772448979592,384.679168701172
494630.6,6406775,116.942857142857,-32.4762244897959,389.846252441406
494630.6,6406888.1,116.942857142857,-32.4752040816327,391.901092529297
494630.5,6407001.2,116.942857142857,-32.4741836734694,389.497222900391
494630.5,6407114.3,116.942857142857,-32.4731632653061,378.799835205078
494630.4,6407227.4,116.942857142857,-32.4721428571429,373.215393066406
494630.3,6407340.6,116.942857142857,-32.4711224489796,371.981689453125
494630.3,6407453.7,116.942857142857,-32.4701020408163,375.303619384766
494630.2,6407566.8,116.942857142857,-32.4690816326531,380.532531738281
494630.2,6407679.9,116.942857142857,-32.4680612244898,381.399566650391
494630.1,6407793,116.942857142857,-32.4670408163265,372.266540527344
494630,6407906.1,116.942857142857,-32.4660204081633,366.612609863281
494630,6408019.2,116.942857142857,-32.465,365.054351806641
494767.1,6402476.7,116.944285714286,-32.515,380.448577880859
494767.1,6402589.9,116.944285714286,-32.5139795918367,378.626220703125
