Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
45,Mid-slope,NA,498997,6404745,116.989324,-32.4945498,B1,B,15-30,15,30,22.5,12.7,90.3,5.4,4.3,1.690,0.400,0.030,13.333,6.90,4.87,23.13,2.06,0.05,1.29,0.05,0.21,0.04
46,Mid-slope,Lower_slope,498808,6404333,116.987311,-32.498266,B,B,30-50,30,50,40,15.7,86.3,7.7,6.0,1.413,0.930,0.050,18.600,6.15,5.50,50.4,NA,NA,NA,NA,NA,NA
47,Lower_slope,Mid-slope,499548,6404154,116.995188,-32.4998816,B1,B,12-46,12,46,29,14.2,79.4,5.4,15.2,1.587,0.560,0.060,9.333,5.41,5.23,165.2,0.15,0.12,0.05,0.01,0.18,0.19
48,Lower_slope,NA,499521,6404045,116.994901,-32.5008649,B1,B,32-50,32,50,41,34.2,86.9,7.5,5.6,1.655,0.170,0.020,8.500,5.71,4.50,29.8,0.25,0.005,0.15,0.06,0.7,0.44
49,Valley_floor,NA,497927,6406410,116.977938,-32.4795281,B,B,35-72,35,72,53.5,15.5,89.0,5.0,6.0,1.687,0.210,0.010,21.000,6.05,5.00,46,1.38,0.08,1.08,0.04,0.44,0.09
50,Valley_floor,NA,497283,6403755,116.971076,-32.5034778,B,B,24-45,24,45,34.5,10.6,81.6,8.5,9.9,1.527,0.280,0.030,9.333,5.17,4.18,82.5,1.12,0.005,0.4,0.03,0.92,0.36
51,Lower_slope,NA,497514,6403540,116.973534,-32.5054179,B,B,37-76,37,76,56.5,11.9,85.2,5.2,9.6,1.649,0.140,0.020,7.000,5.49,4.44,57.4,2.31,0.03,1.68,0.12,0.57,0.09
52,Valley_floor,NA,498807,6403228,116.987299,-32.5082346,E/B,A2,69-74,69,74,71.5,60.2,72.0,4.3,23.8,1.620,0.140,0.030,4.667,NA,NA,NA,1.54,0.03,1.65,0.02,0.32,0.02
53,Lower_slope,NA,498186,6404070,116.980689,-32.500638,B,B,20-32,20,32,26,38.6,87.0,9.0,4.0,1.730,0.140,0.020,7.000,NA,NA,NA,0.43,0.09,0.43,0.11,0.12,0.04
54,Valley_floor,NA,496001,6403978,116.957429,-32.5014622,B1,B,20-50,20,50,35,14.0,90.8,4.3,4.8,1.658,0.090,0.040,2.250,6.80,5.03,747,1.42,0.02,0.59,0.01,0.4,0.14
