Profile,Year,Landform,subLandform,LF3,LF5,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Depth.cat,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Sand.corr,Silt.corr,Clay.corr,Gravel.clr,Sand.clr,Silt.clr,Clay.clr,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex,Al.clr,Ca.clr,K.clr,Mg.clr,Na.clr
14,2015,Mid-slope,Upper_slope,Eros,MS,498263,6404666,116.98151,-32.4952615,C,C,35-70,35,70,52.5,50,44.7112097,86.14,11.7,2.15,47.6,6.5,1.2,1.370929061,1.433537576,-0.557493008,-2.246973629,1.515402,0.1,0.02,5,7.01,5.07,NA,1.71,0.02,0.99,0.1,0.52,0.56,-2.420342326,1.481630344,-0.810904414,0.837754212,0.911862184
15,2015,Mid-slope,NA,Eros,MS,498715,6404659,116.986322,-32.4953253,Ap,A,0-15,0,15,7.5,5,35,78.58,12,9.66,51.1,7.8,6.3,0.70939658,1.087833016,-0.791827748,-1.005401848,1.142752,0.33,0.04,8.25,6.17,5.97,NA,2.04,0.005,0.79,0.04,1.16,0.27,-3.315551599,1.747043434,-1.236110057,2.131185773,0.673432448
15,2015,Mid-slope,NA,Eros,MS,498715,6404659,116.986322,-32.4953253,E,A2,15-55,15,55,35,35,32,79.83,10,10.16,54.3,6.8,6.9,0.638559864,1.167348189,-0.910253426,-0.895654627,1.185147,1.31,0.09,14.55555556,6.4,5.57,NA,3.54,0.15,1.49,0.01,1.94,0.13,-0.400910604,1.894985501,-3.108960805,2.158897354,-0.544011447
15,2015,Mid-slope,NA,Eros,MS,498715,6404659,116.986322,-32.4953253,B,B,55-60,55,60,57.5,50,8,73.33,3,23.66,67.5,2.8,21.8,-0.52133309,1.611352966,-1.571155214,0.481135338,1.144179,0.36,0.04,9,6.51,5.74,NA,3.76,0.03,3.63,0.05,0.67,0.13,-1.975806714,2.819983832,-1.46498109,1.130273617,-0.509469645
16,2015,Mid-slope,NA,Eros,MS,498400,6404356,116.982968,-32.4980583,Ap,A,0-20,0,20,10,15,31.02533493,79.88561458,6.785575805,13.32880962,55.1,4.7,9.2,0.632124168,1.206469757,-1.25511745,-0.583476475,1.26,2.4,0.2,12,6.2,5.8,NA,13.55,0.01,4.28,0.24,8.04,1.45,-4.180702008,1.878421188,-1.002648177,2.508897262,0.796031735
16,2015,Mid-slope,NA,Eros,MS,498400,6404356,116.982968,-32.4980583,E,A2,20-35,20,35,27.5,25,55.82104728,78.84595779,18.08937779,3.064664419,34.8,8,1.4,1.525230451,1.052696848,-0.417478997,-2.160448302,2.28,0.34,0.04,8.5,6.35,5.8,NA,2.29,0.005,1.01,0.06,1.46,0.35,-3.543684678,1.764583019,-1.058778029,2.133069124,0.704810564
16,2015,Mid-slope,NA,Eros,MS,498400,6404356,116.982968,-32.4980583,B1,B,35-54,35,54,44.5,50,59.87556904,79.37833216,14.08309023,6.538577608,31.8,5.7,2.6,1.530340442,0.897538173,-0.821461942,-1.606416672,2.15,0.16,0.02,8,6.7,5.8,NA,2.01,0.005,0.81,0.03,1.35,0.28,-3.300625891,1.786970444,-1.508866422,2.297796068,0.7247258
16,2015,Mid-slope,NA,Eros,MS,498400,6404356,116.982968,-32.4980583,B2,B2,54-95,54,95,74.5,70,15.08090046,23.04492512,15.93475223,61.02032265,19.6,13.5,51.8,-0.346330545,-0.084230052,-0.457069933,0.887630531,2.29,0.18,0.03,6,6.3,5.9,NA,14.13,0.005,4.23,0.1,8.32,1.49,-4.570064948,2.170454411,-1.574332675,2.846914673,1.127028538
16,2015,Mid-slope,NA,Eros,MS,498400,6404356,116.982968,-32.4980583,B3,B3,95-105,95,105,100,100,49.60699746,45.80083072,11.73146508,42.4677042,23.1,5.9,21.4,0.933554954,0.16925567,-1.195624597,0.092813974,2.49,0.11,0.02,5.5,6.3,6.05,NA,8.24,0.02,4.21,0.27,3.39,0.5,-3.260780818,2.088704835,-0.658091133,1.872072109,-0.041904993
17,2015,Sub_valley_floor,NA,Depos,VF,499131,6404068,116.990749,-32.5006572,Ap,A,0-10,0,10,5,5,0.1441,72.41666683,10.74999992,16.83333325,72.3,10.7,16.8,-3.821047521,2.397024384,0.486443996,0.937579141,1.054,4.38,0.33,13.27272727,5.4,5.3,NA,7.56,0.07,4.04,0.06,2.21,1.43,-2.074108217,1.981396512,-2.228258896,1.378144336,0.942826265
