"Profile","Landform","subLandform","Easting","Northing","Latitude","Longitude","Horizon","Horiz.simp","Depth.range","Depth.upper","Depth.lower","Depth.mean","Gravel.pct","Sand.pct","Silt.pct","Clay.pct","Bulk.density","C.pct","N.pct","C.N.ratio","pH.H2O","pH.CaCl2","EC","CEC","Al_ex","Ca_ex","K_ex","Mg_ex","Na_ex","LF5","Depth.cat"
24,"Residual","Upper_slope",499710,6406793,116.996914,-32.476075,"B1","B","15-21",15,21,18,37.83409933,51,22,27,"1.1289",2.8,0.11,25.45454545,5.15,4.82,1900,3.97,0.07,0.11,0.11,3.37,6.53,"RE",15
24,"Residual","Upper_slope",499710,6406793,116.996914,-32.476075,"B2","B2","21-45",21,45,33,27.78469973,67.75,16.75,15.5,"1.4954",2.01,0.09,22.33333333,4.77,4.4,2596,4.08,0.09,0.005,0.07,3.65,6.46,"RE",35
24,"Residual","Upper_slope",499710,6406793,116.996914,-32.476075,"C","C","45-80",45,80,62.5,57.67560423,76,16,8,"1.649",0.76,0.03,25.33333333,5.11,4.55,1705,5.36,0.13,0.005,0.12,3.93,7.55,"RE",70
25,"Sub_valley_floor","Valley_floor",499936,6406181,116.999319,-32.4815959,"A","A","0-14",0,14,7,11.42,70.5,18.25,11.25,"1.220025361",1.65,0.09,18.33333333,5.77,5.73,546,5.33,0.06,3.5,0.05,1.25,0.58,"VF",5
25,"Sub_valley_floor","Valley_floor",499936,6406181,116.999319,-32.4815959,"B1","B","14-24",14,24,19,23.37,93.24,8.5,1.74,"1.17356837",0.21,0.02,10.5,6.04,5.69,461,2.28,0.1,1.15,0.01,0.88,0.33,"VF",15
25,"Sub_valley_floor","Valley_floor",499936,6406181,116.999319,-32.4815959,"B2","B2","24-75",24,75,49.5,27.74,64.283,23.392,12.325,"1.174668291",0.24,0.02,12,6.15,5.6,512,2.75,0.11,1.02,0.03,1.36,0.43,"VF",50
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"A","A","0-16",0,16,8,14.88,92.24,13.76,6,"1.192032629",1.03,0.06,17.16666667,5.44,5.06,755,3.46,0.12,2.34,0.08,0.95,0.18,"VF",5
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"B1","B","16-46",16,46,31,24.5,87.45,7.38,5.17,"1.139679608",0.26,0.02,13,5.87,5.11,527,1.39,0.03,0.8,0.06,0.67,0.14,"VF",35
26,"Sub_valley_floor","Valley_floor",499949,6406143,116.999457,-32.4819387,"B2","B2","46-75",46,75,60.5,31.81,NA,NA,NA,"1.258135232",0.23,0.04,5.75,6.57,5.19,413,13.94,0.02,3.82,0.12,8.74,1.94,"VF",70
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"A","A","0-11",0,11,5.5,0.1,59.75,18.5,11.75,"1.401",2.76,0.19,14.52631579,6.94,5.08,595,8.38,0.04,5.82,0.74,1.27,0.29,"MS",5
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B1","B","Nov-31",11,31,21,0.02,109.76,2.5,12.26,"1.599",0.73,0.06,12.16666667,6,5.02,84.9,6.78,0.03,4.39,0.27,0.97,0.09,"MS",25
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B2","B2","31-58",31,58,44.5,0.05,NA,NA,NA,"1.676",0.32,0.04,8,6.41,5.5,92.1,8.43,0.01,5.5,0.24,2.42,0.21,"MS",50
27,"Mid-slope",NA,498987,6406804,116.989219,-32.4759753,"B3","B3","58-100",58,100,79,0.09,83.25,1,15.75,"1.384",0.35,0.03,11.66666667,6.69,5.79,170.9,10.07,0.03,6.05,0.27,3.04,0.3,"MS",70
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"A","A","0-18",0,18,9,13.4,89.08,5.14,5.79,"1.6239",1.48,0.08,18.5,4.92,4.36,2280,1.5,0.18,1.3,0.01,0.29,0.4,"LS",5
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"B","B","18-47",18,47,32.5,6.62,91.69,2.46,5.85,"1.8687",0.24,0.01,24,5.2,4.99,2265,0.26,0.1,0.16,0.005,0.19,0.17,"LS",35
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"C1","C","47-85",47,85,66,72.69,90.14,5.15,4.71,"1.9452",0.07,0.02,3.5,4.93,4.53,2334,0.15,0.12,0.05,0.01,0.18,0.19,"LS",70
28,"Lower_slope",NA,496044,6404560,116.957889,-32.4962121,"C2",NA,"85-100",85,100,92.5,10.04,64.01,8.47,27.51,"2.1534",0.09,0.01,9,5.07,4.61,2137,1.75,0.11,0.08,0.01,1.59,0.5,"LS",90
29,"Residual",NA,497240,6404609,116.970621,-32.4957737,"A","A","0-15",0,15,7.5,53.21,86.6,7.07,6.33,"1.5615",2.45,0.14,17.5,5.34,4.96,2283,3.71,0.06,2.59,0.1,0.38,0.08,"RE",5
29,"Residual",NA,497240,6404609,116.970621,-32.4957737,"B","B","15-100",15,100,57.5,80.89,87.13,8.88,3.99,"1.3958",0.31,0.02,15.5,6.15,4.99,2262,2.06,0.05,1.29,0.05,0.21,0.04,"RE",50
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"A","A","0-12",0,12,6,4.924,89.91380746,4.251205118,5.834987417,"1.503298246",2.45,0.16,15.3125,5.5,4.8,183,4.55,0.01,2.74,0.22,3.04,0.86,"LS",5
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B1","B","Dec-50",12,50,31,5.923,87.56979131,8.818729135,3.61147955,"1.596105263",0.11,0.02,5.5,6.2,4.5,24,0.25,0.005,0.15,0.06,0.7,0.44,"LS",35
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B2","B2","50-65",50,65,57.5,7.539,73.19630285,21.22653035,5.577166799,"1.616701754",0.06,0.01,6,6.5,4.7,48.9,0.81,0.005,0.17,0.02,1.16,0.45,"LS",50
30,"Lower_slope","Sub_valley_floor",496745,6404980,116.965353,-32.4924255,"B3","B3","65-100",65,100,82.5,12.184,61.21618505,22.11431349,16.66950146,NA,0.03,0.01,3,6.8,5,894,3.19,0.005,0.34,0.05,3.08,1.1,"LS",90
