Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
64,Mid-slope,NA,MS,Erosional,495625,6403350,116.9534,-32.50713,A,A,0-15,0,15,7.5,5.6,90.2,4.5,5.3,1.38,1.75,0.15,11.91,4.85,4.1,155.2,3.7,0.1,2.6,0.3,0.7,0.3
65,Lower_slope,NA,LS,Depositonal,496030,6403765,116.9577,-32.50338,A,A,0-19,0,19,9.5,8.8,87.4,5.7,6.9,1.3,1.33,0.11,12.56,5.79,4.73,102.4,2.3,0.1,1.4,0.1,0.4,0.2
66,Mid-slope,Lower_slope,MS,Erosional,496610,6403404,116.9639,-32.50664,A,A,0-5,0,5,2.5,5.8,85.2,9.5,5.3,1.29,1.57,0.12,13.08,5.72,5.26,271.5,6.1,0.005,5.3,0.2,0.7,0.1
67,Valley_floor,NA,VF,Depositional,496759,6403845,116.9655,-32.50266,A,A,0-5,0,5,2.5,1.8,78.3,2.5,19.2,1.091,5.81,0.51,11.46,6.38,5.11,593,12.7,0.005,6,0.3,6.3,3.3
68,Lower_slope,NA,LS,Depositonal,496967,6403448,116.9677,-32.50625,A,A,0-16,0,16,8,4.6,87.2,5.4,7.4,1.33,1.79,0.13,14.15,5.79,5.01,103.8,3.44,0.93,3.03,0.04,0.52,0.18
69,Lower_slope,NA,LS,Depositonal,497263,6404153,116.9709,-32.49989,A,A,0-15,0,15,7.5,8.9,90.5,4,5.5,1.346,1.01,0.06,16.83,4.96,4.82,242,3.1,0.005,2.8,0.005,0.6,0.2
70,Lower_slope,NA,LS,Depositonal,499413,6404060,116.9938,-32.50073,A,A,0-10,0,10,5,0,93.2,4,2.8,1.28,2.17,0.21,10.4,6.5,5.3,275,6.87,0.07,5.65,0.75,1.09,0.16
71,Lower_slope,NA,LS,Depositonal,499377,6404113,116.9934,-32.50025,A,A,0-15,0,15,7.5,0.1,76.9,14.1,9,1.35,2.6,0.21,12.2,5.3,4.6,44.3,8.62,0.05,6.93,0.1,1.18,0.25
72,Lower_slope,NA,LS,Depositonal,499214,6403703,116.9916,-32.50395,A,A,0-13,0,13,6.5,0.1,99.7,0.1,0.2,1.49,2.2,0.21,10.6,5.3,4.8,319,6.38,0.55,6.25,0.37,1.25,0.6
73,Lower_slope,NA,LS,Depositonal,498861,6403134,116.9879,-32.50908,A,A,0-14,0,14,7,0.1,76.2,9.8,14,1.26,2.78,0.27,10.1,5.4,4.8,298,8.47,0.02,6.17,0.88,2.09,0.6
