OorE,Profile,Easting,Northing,Latitude,Longitude,Horizon,Horiz_simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC.-S.cm,CEC,ex-Al,ex-Ca,ex-K,ex-Mg,ex-Na,munesll.wet,munsell.dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,17,499131.0,6404068.0,116.990749,-32.5006572,AP,A,0-10,0.0,10.0,5.0,0.1,72.4,10.7,16.8,1.1,4.4,0.3,13.3,5.4,5.3,NA,7.6,0.1,4.0,0.1,2.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,17,499131.0,6404068.0,116.990749,-32.5006572,A,NA,10-26,10.0,26.0,18.0,0.2,79.4,9.3,11.3,1.4,0.4,0.0,21.0,6.5,5.7,NA,2.7,0.0,0.8,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,17,499131.0,6404068.0,116.990749,-32.5006572,E,NA,26-30,26.0,30.0,28.0,0.3,62.9,13.0,24.1,NA,0.2,0.0,8.0,6.2,5.8,NA,3.3,0.0,0.6,0.0,1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,17,499131.0,6404068.0,116.990749,-32.5006572,B,NA,30-50,30.0,50.0,40.0,0.2,42.9,9.8,47.3,1.5,0.3,0.0,7.5,5.9,5.6,NA,9.5,0.0,2.3,0.1,5.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,18,498771.0,6403716.0,116.986917,-32.5038323,AP,A,0-14,0.0,14.0,7.0,6.4,61.9,17.3,20.8,1.3,1.3,0.1,12.0,6.8,5.0,NA,3.9,0.1,2.4,0.0,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,18,498771.0,6403716.0,116.986917,-32.5038323,A,NA,14-22,14.0,22.0,18.0,12.6,61.4,18.3,20.3,NA,0.2,0.0,7.7,6.2,4.4,NA,2.1,0.3,0.8,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,18,498771.0,6403716.0,116.986917,-32.5038323,E,NA,22-30,22.0,30.0,26.0,24.1,72.4,3.3,24.6,NA,0.1,0.0,4.0,6.1,4.3,NA,0.9,0.1,0.3,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,18,498771.0,6403716.0,116.986917,-32.5038323,B,NA,30-67,30.0,67.0,48.5,38.6,15.9,35.5,48.6,1.6,0.2,0.0,6.3,5.9,4.3,NA,9.9,0.1,2.3,0.1,5.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,18,498771.0,6403716.0,116.986917,-32.5038323,C,NA,67-74,67.0,74.0,70.5,67.6,57.4,11.3,31.3,NA,0.2,0.0,5.3,6.1,4.1,NA,14.4,0.2,2.4,0.1,8.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,19,499159.0,6403611.0,116.991047,-32.5047798,Ap,A,0-8,0.0,8.0,4.0,3.0,91.0,2.5,6.4,1.2,2.1,0.2,12.8,6.0,5.8,NA,7.5,0.0,5.7,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,19,499159.0,6403611.0,116.991047,-32.5047798,A,NA,8-25,8.0,25.0,16.5,5.1,84.9,8.3,6.7,1.2,0.7,0.0,16.3,6.3,5.2,NA,5.7,0.0,3.9,0.5,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,19,499159.0,6403611.0,116.991047,-32.5047798,B1,NA,25-55,25.0,55.0,40.0,4.7,53.2,8.6,38.2,1.6,0.3,0.0,9.3,7.3,5.2,NA,3.9,0.0,2.8,0.1,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,19,499159.0,6403611.0,116.991047,-32.5047798,B2,NA,55-72,55.0,72.0,63.5,4.3,84.4,1.3,14.3,1.4,0.2,0.0,8.0,7.1,5.5,NA,7.2,0.0,4.6,0.1,1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,19,499159.0,6403611.0,116.991047,-32.5047798,B3,NA,72-80,72.0,80.0,76.0,0.1,66.2,1.9,31.8,1.6,2.8,0.2,13.2,6.0,5.9,NA,14.1,0.0,8.6,0.1,5.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,20,498296.0,6404061.0,116.98186,-32.5007194,Ap,A,0-10,0.0,10.0,5.0,35.7,87.4,7.8,4.7,1.5,2.8,0.2,13.2,5.8,5.0,63.0,8.2,0.0,5.8,0.4,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,20,498296.0,6404061.0,116.98186,-32.5007194,A,NA,10-27,10.0,27.0,18.5,52.3,91.4,4.1,4.5,1.7,4.0,0.1,36.1,6.5,5.1,509.0,7.7,0.0,6.3,0.4,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,20,498296.0,6404061.0,116.98186,-32.5007194,E,NA,27-60,27.0,60.0,43.5,44.9,94.8,2.3,2.8,1.7,0.8,0.0,20.8,6.7,5.4,115.0,7.1,0.0,5.4,0.3,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,21,499746.0,6406602.0,116.997297,-32.477798,A,A,2-14,2.0,14.0,8.0,11.7,89.3,7.2,3.5,1.4,1.9,0.1,38.8,5.6,4.7,46.0,4.1,0.1,2.5,0.2,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,21,499746.0,6406602.0,116.997297,-32.477798,B,NA,14-42,14.0,42.0,28.0,4.9,75.0,25.0,0.1,1.5,1.2,0.1,24.0,5.0,4.7,25.7,2.1,0.1,1.1,0.1,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,21,499746.0,6406602.0,116.997297,-32.477798,C,NA,42-80,42.0,80.0,61.0,77.7,98.0,0.1,2.0,1.9,6.7,0.2,33.5,5.4,4.4,46.6,1.3,0.1,0.7,0.1,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,22,499399.0,6406493.0,116.993604,-32.478781,A,A,0-6,0.0,6.0,3.0,18.2,65.7,17.3,17.0,0.8,7.4,0.2,30.9,3.8,3.8,4600.0,3.0,1.2,0.5,0.1,5.4,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,22,499399.0,6406493.0,116.993604,-32.478781,B1,NA,12-21,12.0,21.0,16.5,6.6,47.9,15.0,37.2,1.0,2.6,0.1,51.4,4.0,4.0,3440.0,2.9,2.1,0.1,0.0,3.1,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,22,499399.0,6406493.0,116.993604,-32.478781,B2,NA,28-40,28.0,40.0,34.0,4.1,40.6,12.4,47.0,1.3,0.6,0.0,31.5,4.0,3.8,2090.0,2.9,1.9,0.0,0.0,1.7,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,23,499753.0,6406606.0,116.997371,-32.4777619,A,A,0.2-20,0.2,20.0,10.1,8.2,39.4,15.9,44.7,1.3,3.4,0.1,34.1,4.2,3.9,1188.0,3.5,0.5,0.2,0.1,1.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,23,499753.0,6406606.0,116.997371,-32.4777619,B1,NA,20-40,20.0,40.0,30.0,60.5,45.8,34.0,20.1,1.7,0.5,0.0,26.5,5.2,4.2,1427.0,3.6,1.3,0.0,0.0,0.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
